,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33
"Wind speed Sensor 2, Standard deviation (m/s)",0.0868748561073203,0.08489143851389212,0.05090215562512214,-0.11162827632839223,-0.059961935126972676,0.186427371782926,-0.01444850489440247,-0.01363687296697643,-0.004337055010083635,-0.03290594047795102,0.012706287711502003,-0.03373393663724939,0.026890389394907302,-0.04038337658485658,-0.0510972958484365,0.01106655964937928,-0.049629641438413225,-0.04440312701466691,0.01565102404130364,-0.0008882937354995346,-0.0572667535411547,0.019963620635850818,0.00438694305494351,0.005333985795462721,0.06911652977346297,-0.05578924378633532,-0.07212104671386613,0.08134708324421658,-0.028633297928360016,-0.022632653877454945,0.031991104610226695,0.013784523829893865,-0.024200699514443716
"Wind speed Sensor 2, Minimum (m/s)",0.11542412901563541,-0.07685001272146505,0.01169023241230253,0.07630369811836567,0.03120173870392684,-0.11737752489993818,-0.004580825922649301,0.007519629551917227,0.003718549687624903,0.016625727156546054,-0.04440099975301927,0.048244958250829084,-0.00020956067169418738,-0.021344811832967367,0.060527195720400134,-0.05917096909478481,0.0233734893923922,0.010886160133555943,0.0013835667267574625,0.024346964678268107,0.0224050473051432,-0.03924050946912574,-0.001324299967193957,-0.01096428363763875,-0.0006691422650457468,0.04356863829777925,0.02335008572099103,-0.04184037005472188,0.0033610775176134214,-0.008678906631404557,-0.044020574298394545,0.019714424315959937,0.03205802854083671
"Wind speed Sensor 2, Maximum (m/s)",0.13693745395339585,-0.0019047503502256952,0.03980294695580989,-0.015615394321035307,-0.015395961561231686,0.03184996962259287,-0.012738813693324524,-0.0030419900931658167,-0.001397811722261999,-0.010260742586677515,-0.020668327253863007,0.01146153481631762,0.01634989386237891,-0.03961862012138842,0.009104902035696163,-0.03284194112445579,-0.016594141180090435,-0.019536249084588363,0.01163329248371886,0.01559000593626636,-0.019568660347768663,-0.016888622139360085,0.0003063420198142538,-0.0024541678399821326,0.04523120372444481,-0.006738412866379204,-0.035710169475952534,0.03092412956746974,-0.021811448453339433,-0.01871085233513623,-0.011397221707437018,0.01868001350798428,0.007353954335879834
Density adjusted wind speed (m/s),0.13782685153499288,-0.0379833560837066,0.02356028725391591,0.02805069497241353,0.005939788843666624,-0.03330481853261361,-0.0101136442361634,0.0030989290192352525,0.0012743813051155906,-0.0010955129050678053,-0.034084332319188365,0.032945005280719974,0.006793738492778326,-0.04072234305927565,0.026475977179889032,-0.05088648267414798,-0.002436349981462249,-0.007857988117939141,0.005040737271376865,0.014884355437060251,-0.00855361542302227,-0.022531979032185866,0.00015016687084581579,-0.00435849916620615,0.027836796131292668,0.006075718486766982,-0.013554568363605884,0.010165707854892458,-0.017427020954923877,-0.011150446879602732,-0.02102364916211205,0.030238312878047093,0.004868414691057532
Wind direction (°),0.014321470777388256,-0.002844779459506097,0.01012704313926617,0.08281039503111572,0.32933029387467144,0.14471015094921486,0.027431855798806304,0.05796373133226562,0.02466255957543321,0.0011672425367655337,0.034125310762947905,0.00898181364165293,-0.03201631712783409,0.03309134300985676,-0.004550079560792841,0.028774374433558954,-0.03205050812396443,0.003164854703449113,-0.016738760800406705,-0.015738568835050204,0.006271444044882016,0.01044431117684777,-0.0011545036040822437,0.004111072191345182,-0.015069142723182254,-0.007086598315280593,-0.0057198111753443,-0.012617041909018363,-0.006468809631227063,-0.01208937668612245,0.005117520295867595,0.0045293680875444905,0.02949320993830465
Nacelle position (°),0.013621199689306134,-0.0036083702432691935,0.008318691490021164,0.0844706397494118,0.3341076804276762,0.14386146964132573,0.02824873239633567,0.057402497750449255,0.024005029805272943,0.009260668037227582,0.03158524530501512,0.014507377723366188,-0.03769543637689657,-0.0031538335137352453,-0.0322407055068229,0.026796917190074883,-0.026542340527852565,0.007245485960870437,-0.01984434245338624,-0.013890544935487859,0.0018187399201031185,0.009436266212294521,-0.00045086632388492004,0.002923386545177001,-0.01986232914711268,-0.006286831882055824,0.0008076988765985949,-0.00927264942003626,0.0003998184124491336,-0.011438411617087385,-0.002373285014619371,0.00474065000106243,0.03170954412666582
"Wind direction, Standard deviation (°)",-0.00752825463931816,0.12744891574675807,0.032605639456655025,-0.12218884044167086,-0.05920980134776585,0.17572822720950054,-0.015275792651704204,-0.012467294859620781,-0.04417850277761126,-0.07713982239018413,0.08653558870113304,-0.07615370177238578,-0.009355578768224793,0.0632383277565075,-0.0064281310502640465,0.041729597708225874,-0.017209046711205767,0.033898867068275204,-0.03844110668585868,-0.0840130658823717,-0.003748644205546922,-0.08523769593088734,-0.018274772809056095,-0.004240613715724718,-0.012229441507394773,0.06425917996509302,-0.06791190579280484,0.10902300042561557,-0.12518808145249566,-0.008036163148350636,-0.17899574248572964,-0.0011064414963177654,0.08652333522477626
"Wind direction, Minimum (°)",0.01800511020689284,-0.01584502920142973,0.021890348295510915,0.0917418195277775,0.2912675638324125,0.08597769553498234,0.017341643011007726,0.03456919509385284,0.010197424914287032,0.012321673510998665,0.002916532251410253,0.0022423773927941204,0.018843876937522763,-0.010380746431140495,0.00977100046202925,-0.018835041208052808,-0.01339670723891248,-0.007290753623965789,0.002635019357582591,0.035382601392799945,-0.00924109759058031,0.02608893655128027,-0.0002269347259909937,0.006966071496825357,0.0254863787887915,-0.012210391446484656,-0.06664441237355576,-0.00027488688762750124,-0.04545709389042529,0.033545802606508135,0.12191291285371338,-0.06501979000000754,-0.12743028537015777
"Wind direction, Maximum (°)",0.01254975956356551,0.009667813544843085,0.011930972121926411,0.06934770962831435,0.32222559361807807,0.15988577797208364,0.02333817799808035,0.0570487564682388,0.001474545913269766,-0.011556961510352237,0.03781291043671439,-0.02184446236991805,-0.0033355750371027518,0.003989154711537782,0.023796584114034347,-0.003583119207566838,-0.02475015370746758,-0.005332787321967285,-0.009529947161207836,0.00904217410257499,0.0055503371984776395,-0.023537946364457468,-0.0025320931411486405,-0.004642725281957851,0.0076293127629456226,0.014017590923308815,-0.001093425219161448,0.010682863569022386,0.007500084863341921,-0.0017692178477452317,-0.03744605202632971,0.0037385677424355114,0.00116884152886082
"Nacelle position, Standard deviation (°)",0.009435008006821838,0.046017169216471705,0.041308612254265215,-0.03616641476586024,0.0002688613335174654,0.05497154420983103,-0.008316989334991143,-0.013305243278286867,0.0429770735987277,0.014401566217863704,-0.04795123617432928,0.08617744404777271,-0.02909868586436598,0.04671370802186118,0.03362821838722412,-0.056923424508852044,-0.046219428686374936,0.02815780644245246,-0.06241708614045299,-0.22675241426390302,-0.07127529788674039,-0.23611165998295328,-0.016475624063364502,-0.0956342976460817,-0.24086613475815574,0.771293498637988,0.07259887037609025,0.28829076296594014,-0.11130815561086896,0.16795832193919313,0.13575579552212885,0.005693183713473057,-0.08295895968126563
"Nacelle position, Minimum (°)",0.012595491561819968,-0.007159267516894172,0.007600753404927169,0.08886275132495068,0.3385558772602836,0.13935898802824245,0.02415924745044309,0.05638053198683713,0.004688889608435469,0.0007522545282452331,0.028854407334268445,-0.013753679269037977,-0.003286289051973812,-0.03451087988243299,-0.010691515568414467,-0.003315826857357299,-0.015061987329082316,-0.0022097849151536952,-0.002540300252932115,0.03551956025981469,0.00514545259206442,0.007367683940069258,-0.0003999929041914735,0.0035410472261917045,0.020021522380477816,-0.045802584284051505,-0.024983197883717806,-0.026130696569840184,0.020297373439168237,-0.005828898346858777,-0.0010452863927750133,-0.019573528935705853,-0.018380805817222297
"Nacelle position, Maximum (°)",0.01340494333649931,-0.0022057250902427503,0.011494557704052418,0.0843957295142501,0.3400309305757464,0.14749526326457157,0.023768068084879718,0.056997473167287316,0.008474750346079422,0.0018211724087955766,0.02407855066598262,-0.0042515960150441776,-0.005187434171905619,-0.03325596361856152,-0.001131039335271089,-0.011758342680329298,-0.019569502887973822,-0.0017634200579794423,-0.007994248163325002,0.01121440884591135,-0.0011146607243724613,-0.0222766827583726,-0.0016406532875792613,-0.008232005290046657,-0.006522873159162279,0.04428026301568508,-0.009139743050922189,0.009758898370763117,0.012878791090596645,0.010526383016517787,0.008061235044184573,-0.01385519975008151,-0.02274284549985578
Vane position 1+2 (°),0.0012983214951651815,0.006190866410143068,0.01729699981629063,-0.020669112812726737,0.0011507959723963078,0.032122446612730074,-0.0019233567139216286,0.03375984883452245,0.001789534900813219,-0.11069304295586348,0.04271244031938831,-0.0816587489325189,0.06583076338848817,0.5114725809056039,0.41789103027100044,0.044358463296977846,-0.1082552932531847,-0.07932823616590837,0.054117020687823536,-0.023019566866816624,-0.00323030994062673,0.024461084942521888,0.005406679126424823,0.008069098004046808,0.03145825090454121,-0.019178466710919634,-0.010288708520098777,-0.018437494347824726,0.02732653948474917,-0.004075824985527554,0.014008474832605256,0.00416660630910755,-0.013085965403692501
Power (kW),0.14027938298158338,0.005965521750197266,-0.004355011824570473,0.033177319421741125,0.0017371038678209837,-0.03014116634420301,-0.013503111643689013,-0.004590849853897756,0.013039432362384128,-0.023068871285290355,0.002977586299904411,0.025797566498417746,-0.03170411052616842,0.01671726391707748,7.861420260361213e-05,-0.019291696944793962,-0.011453971397226155,-0.001509474168745556,-0.003845272610944722,-0.020218139772337773,-0.02218878232797146,0.006618530405428341,0.002586346839628326,0.003837565607344895,0.010014098136109623,-0.0028101478952292647,-0.019501557178222412,-0.005783648568583103,0.004416581500539238,-0.017364159414965788,-0.013186699846085143,0.0051775345680045255,-0.02291376919229738
Potential power default PC (kW),0.13813524896665713,0.007136869854990494,0.0021549557516279683,0.0435837041626027,0.01011150667149719,-0.052602615868905224,-0.012929395261707364,-0.006062415971413376,0.014523757860546375,-0.00817344954953476,-0.006337410645993358,0.040504529506400544,-0.03555785334331557,-0.002203610249154775,-0.005048654440592146,-0.02911532157544673,-0.00694599998852162,0.002723530466627294,-0.0073520125503718226,-0.024998698924449822,-0.02442230632692624,0.001441842010746902,0.0014418869320177493,0.00207473985366229,0.007488405332165195,0.008115466447838175,-0.02719137174754324,-0.00920944106852857,-0.007964766005488871,-0.01898656882183365,-0.027497884008318457,0.015134026201819544,-0.0314047886043029
"Power, Standard deviation (kW)",0.11483843508763245,0.07580602277651012,0.04586431150508254,-0.07103262908188632,-0.03324093654054993,0.11955510600072423,-0.011020509370191505,-0.024695950144278028,0.03566415016285763,0.0157288117999886,-0.04615815355347688,0.025100753875725995,0.03089529485663324,-0.03400416405162604,-0.012421060059143896,-0.027064381557706463,-0.08074695456249001,-0.08272216353662112,0.039515506552502994,-0.04443490302353553,-0.06788885938426692,0.05185154020334948,0.011729752086516547,0.004427576592495137,0.004684110661748286,0.024112581645234554,-0.033151500075196766,-0.06610060333966268,0.10982891906560788,-0.048585366922203,0.017896305952410325,-0.006240000320287229,0.05332243733875128
"Power, Minimum (kW)",0.1287796755006987,-0.036071046871158974,-0.02754469315863817,0.07744954773695766,0.020540913377251026,-0.09529097246391804,-0.012640880928189,0.006954949606335479,-0.011502432906969414,-0.0345251440178348,0.024639495103929335,0.0012773759291312137,-0.028005469031572146,0.018098443119030694,0.03407830345476636,-0.039892428599523855,0.04212571271580137,0.0341025878184099,-0.010296233395053977,0.022492375350008524,0.011152795796582127,-0.04109288941132007,-0.006078483723429586,-0.003964483521695979,0.024604421921385365,-0.006923698490607838,-0.00022482291817491062,0.029144430460142007,-0.05559297853594666,-0.00191149859386619,-0.032600969904575755,0.03346050521266943,0.010695746824029432
"Power, Maximum (kW)",0.13925407456052546,0.024986868445632998,0.01634171319151592,-0.00782398829471796,-0.013266938048429681,0.03008867520472693,-0.014342522508344464,-0.017081514454059837,0.01563704647370187,-0.006684185040128185,-0.009289438855290676,0.008756082422372524,0.0068262425079349195,-0.013397657010790764,0.00960248688222419,-0.038096914693664906,-0.028276090995383446,-0.03380007349848249,0.021246696572679635,-0.010970146943749759,-0.03449310885847434,0.0014114985215606737,0.002731080449242338,5.737863877295236e-05,0.026608293088562524,0.008368646735701007,-0.02870411988696908,-0.012570241316754688,0.03834455446698802,-0.028056064975884934,-0.010780763745663363,0.014851047182269199,0.03711359315849963
Potential power learned PC (kW),0.1384205706228181,0.0014804979612763496,-0.0024217514108990775,0.04312781374558987,0.008763960603337902,-0.047035150527538115,-0.015660580556478683,-0.007704868557568604,0.01562720375936068,-0.013980693948580598,-0.0071984215535975775,0.0448404474498885,-0.03906738040723233,-0.003065498209143813,-0.004544975765708947,-0.030033486543740218,-0.011597601579200506,0.002502064892830204,-0.008116046842398007,-0.024135847333378785,-0.024029383953010325,-0.0011870719614319736,0.0011943991186047498,0.001625978552318366,0.007796814352640239,0.006069359176646971,-0.023545529035888302,-0.009014751870920141,-0.006826714537073508,-0.014816778092779065,-0.021442625685810235,0.017475483477906086,-0.029626706256731056
Potential power reference turbines (kW),0.12575826624259745,0.013995860068265755,-0.010044019086953149,-0.02079984440907841,-0.07650847899909488,0.00695653441497479,-0.009286633100096482,-0.028585030721814644,-0.006216897106148259,-0.059604730600341285,0.07575072284132245,-0.05171318682412031,-0.024712335046534535,0.03044657064757611,-0.0695470030989717,0.07435172086463981,-0.004706016401368196,0.006146416843867367,-0.017984224865245396,0.08217354220282125,0.0388110792799713,0.022429439175971566,-0.0023864011606443136,0.0009398840597900499,-0.011605320936097119,0.04029529654622224,0.0014810399274337027,-0.05665257368146688,0.09962902741524285,0.030634305207270285,0.11962810825431541,-0.1862383867137558,-0.23713142800676085
Cascading potential power (kW),0.1384205706228181,0.001480497961276325,-0.002421751410899077,0.04312781374558989,0.008763960603337862,-0.04703515052753814,-0.015660580556478666,-0.007704868557568614,0.015627203759360744,-0.013980693948580583,-0.0071984215535976885,0.04484044744988854,-0.03906738040723234,-0.0030654982091439242,-0.004544975765708956,-0.030033486543739968,-0.011597601579200485,0.0025020648928301137,-0.008116046842398056,-0.02413584733337848,-0.02402938395301063,-0.0011870719614321956,0.0011943991186048955,0.0016259785523182052,0.007796814352640378,0.006069359176647249,-0.023545529035887774,-0.0090147518709199,-0.006826714537073841,-0.014816778092780022,-0.021442625685810013,0.017475483477906034,-0.029626706256730445
Cascading potential power for performance (kW),0.1384205706228181,0.0014804979612763154,-0.0024217514108990632,0.04312781374558991,0.008763960603337891,-0.047035150527538164,-0.01566058055647866,-0.007704868557568614,0.015627203759360754,-0.013980693948580553,-0.007198421553597737,0.04484044744988855,-0.039067380407232385,-0.0030654982091438514,-0.004544975765708971,-0.030033486543740107,-0.011597601579200489,0.002502064892830169,-0.008116046842398264,-0.02413584733337834,-0.024029383953010908,-0.00118707196143239,0.0011943991186049324,0.0016259785523181304,0.007796814352640458,0.00606935917664761,-0.02354552903588797,-0.009014751870919505,-0.006826714537073696,-0.014816778092779676,-0.02144262568580982,0.017475483477906055,-0.029626706256730723
Potential power primary reference turbines (kW),0.13355898464503932,0.014283841921280656,-0.015387615460861436,-0.004473274602591979,-0.02076961217479732,0.013531648828468966,-0.01552252804700855,-0.020262372266901987,-0.002306066660190549,-0.06109299693768972,0.07092121104545791,-0.0406299620253087,-0.03330946194892932,0.033017815738372334,-0.05532041369936789,0.040240733682319806,0.01895484993278261,0.005462752939673299,0.00214992437258521,0.05822594698465791,0.024476371915356315,-0.041931508206483975,-0.004209797605248127,-0.010880751966172997,-0.004469841887862508,0.06447917492247782,-0.014520905610133472,-0.08795220465029485,0.11310213678184278,-0.02380178628461882,-0.0225513419257225,-0.037908528343428755,-0.04995552666048117
Potential power secondary reference turbines (kW),0.10795656364584513,0.012915536193187449,-0.005460175404837011,-0.029959100754071613,-0.10726256925087425,0.0017031686902116996,-0.0038566777051948792,-0.03203183798241778,-0.0076053952550283474,-0.05301738626106267,0.07139846291394067,-0.05326976751420813,-0.016203527690445002,0.025269702373954896,-0.07287637661587658,0.08967586360857607,-0.021985500371434298,0.0053776855302007515,-0.028961933437096504,0.09038333427855104,0.04461986439125535,0.06489471281675238,-0.0008689861066098863,0.009192281275522336,-0.014981572720959298,0.019718488108350942,0.012290204301776015,-0.029380769768240708,0.08100084258522969,0.06461991129475424,0.2062933337455523,-0.26905538917032085,-0.34518194806310765
Turbine Power setpoint (kW),0.13583084048085753,0.006343622899670906,-0.007952866263075562,-0.004922597464244172,-0.014129016022881953,0.02022958707382733,-0.013235102315362882,-0.021796622758923294,0.004840568991629884,-0.044582690796805304,0.06312469661439192,-0.040827202153991576,-0.01820114741595319,0.018520387519556224,-0.02725561581755915,-0.003222647067827478,0.03682757329920899,0.006452182031114251,0.012530157352998807,0.07208489324488274,0.018004709500273528,-0.08291510283187216,-0.008495648134376208,-0.019515256873292426,0.02698179801028023,0.06713457345233649,-0.018876315396572356,-0.06937634708135301,0.09515648243781627,-0.046983188792457733,-0.02791186636754468,-0.015221114923628268,0.022488760118822476
Potential power MPC (kW),0.1381352489666571,0.007136869854990512,0.0021549557516279097,0.043583704162602724,0.01011150667149724,-0.052602615868905196,-0.012929395261707437,-0.006062415971413392,0.01452375786054636,-0.008173449549534736,-0.006337410645993574,0.04050452950640056,-0.035557853343315654,-0.0022036102491547506,-0.005048654440592098,-0.029115321575446464,-0.0069459999885216304,0.0027235304666273696,-0.007352012550371748,-0.024998698924449343,-0.024422306326926504,0.0014418420107467668,0.0014418869320177172,0.002074739853662344,0.007488405332165398,0.00811546644783834,-0.027191371747542763,-0.009209441068528699,-0.007964766005489282,-0.018986568821833548,-0.027497884008318603,0.015134026201819308,-0.03140478860430242
Available Capacity for Production (kW),0.0005402514198200412,-0.0008603759055877433,5.874881158267687e-05,0.00023578204081088736,1.20151384099543e-05,0.0006835057030476234,0.0013359046424499513,-0.0006526284923882161,0.00960901719370709,0.004585582849093831,0.003919894269735959,0.013373445696177641,-0.015318985886516047,0.01951613650599858,-0.024046961074077486,0.036067934296141586,-0.006808677053104899,0.016685992321598668,-0.01909975093230917,-0.003335294893460274,0.023336270588397278,-0.1245455693996505,0.8886203368501746,0.4329254071338611,0.000807909985001451,0.032923279182265106,-0.01257696550907902,0.0011935166424355773,-0.021682386641405958,-0.005320199737724079,-0.012026158785783512,0.007638900511265198,0.00467785486269462
Power factor (cosphi),-0.06713200069783261,0.118128417064218,-0.049676564955743276,-0.04325254791965555,-0.01003986808128317,0.08085170194455321,-0.005094994139244211,0.002925398410650726,-0.04209835127740877,-0.1043987294102413,0.15268767348535123,-0.1258600232794425,-0.020576543088451898,0.00498961347851567,-0.025872643952913395,-0.028204402918069943,0.1707552238315063,0.12631755247156504,-0.022282014716935153,0.0739985422240762,0.07028703906754412,-0.21420526194251982,-0.007345225354332772,-0.027156752897765972,0.011133155011772375,0.10183977806794345,0.046334838236205156,-0.20376793609248178,0.20348659494339918,-0.08685294096190829,-0.06359911045759212,0.041570711953175556,0.13654051605561324
"Power factor (cosphi), Max",-0.05395597548837767,0.15089836186279837,-0.02950349162031402,-0.06061797242256455,-0.018537159283096988,0.10179752018998092,-0.003378801858042508,0.022740601488241682,0.0005896291087395301,-0.07538633449329456,0.08103660843857216,0.023923723223259852,-0.09894040725370573,0.04527229125228489,-0.014673847577203084,-0.05001137555869329,0.13084107666711164,0.18727742866591374,-0.12244242449088048,-0.1372145077372935,0.05033598594381262,-0.31962748805775887,-0.03185917956700543,-0.034156741342841156,0.13025825419768475,-0.15303595402064388,0.056880801215204224,0.033453304104856856,0.1578552321853664,0.11415549811681258,-0.07558902552285822,0.12486685205817871,-0.06714811917789619
"Power factor (cosphi), Min",-0.06983173812341706,0.03482030947182608,-0.07123518487293849,0.02584257057183852,0.017041148538253188,-0.012808665460167751,0.005596982666971765,-0.02333962164301859,-0.010128350632797828,-0.06361504154480502,0.19489592913850307,-0.15757662719199741,-0.04990547043514597,0.07087443453953068,-0.1336535009121085,0.13710741644725172,0.10886701066746242,0.039476129326803854,0.04087386008258333,0.19691362924081326,0.06145900271234277,0.02069526935550222,-0.007442941484652698,-0.015064066847501428,-0.16593433787082942,0.2788367487417548,0.029431116369926402,-0.35934942884618093,0.17550289551987316,-0.19082396813821825,-0.06436864515960507,-0.03203372633799635,0.12075941895009633
"Power factor (cosphi), Standard deviation",-0.04376765884263105,0.15004581642228532,-0.019552408079633685,-0.06695991076921129,-0.02073081227726443,0.10980859112645029,-0.00398215729546564,0.028538964962112192,0.003444167331462928,-0.06863193149966658,0.05404257889087028,0.050850697814929985,-0.09593320888760086,0.03935951269444415,0.005407027880204065,-0.07552360079519502,0.12566072951108886,0.1925451316487674,-0.13377996246355534,-0.1698295265953499,0.04690344716054709,-0.3423677758285949,-0.03217499962307224,-0.03390412786912783,0.15892758611005475,-0.19807257876519932,0.061361251035538494,0.07735905619132923,0.14874727036035246,0.14020886455756332,-0.053594821704512845,0.12434137567020351,-0.08093916174806498
